08-2001_0	A preparatory study on the capitalization of Portuguese BN has been performed by ( )	DT JJ NN IN DT NN IN NP NP VHZ VBN VVN IN ( )	BackGround	GRelated	Neutral
08-2012_13	Our feature set was simple, and included many features from ( ), including the pronoun, string match, definite and demonstrative NP, number and gender agreement, proper name and appositive features	PP$ NN NN VBD JJ , CC VVD JJ NNS IN ( ) , VVG DT NN , NN NN , JJ CC JJ NP , NN CC NN NN , JJ NN CC JJ NNS	Fundamental	Basis	Neutral
08-2012_13	Our Soon-style baseline used the same training and testing regimen as Soon et al.( )	PP$ NP NN VVD DT JJ NN CC NN NN IN RB CC JJ ( )	Fundamental	Basis	Neutral
08-2012_14	We also added part of speech (POS) tags to the data using the tagger of Toutanova et al.( ), and used the tags to decide if mentions were plural or singular	PP RB VVD NN IN NN NN NNS TO DT NNS VVG DT NN IN NP NP NP ( ) , CC VVD DT NNS TO VV IN NNS VBD JJ CC JJ	Fundamental	Basis	Neutral
08-2012_15	The MUC scorer ( ) is a popular coreference evaluation metric, but we found it to be fatally flawed	DT NP NN ( ) VBZ DT JJ NN NN JJ , CC PP VVD PP TO VB RB VVN	BackGround	SRelated	Negative
08-2013_0	System utterances were generated using a simple template-based algorithm and synthesised using the speech synthesis system Cerevoice ( ), which has been shown to be intelligible to older users ( )	NN NNS VBD VVN VVG DT JJ JJ NN CC VVD VVG DT NN NN NN NN ( ) , WDT VHZ VBN VVN TO VB JJ TO JJR NNS ( )	BackGround	SRelated	Positive
08-2013_1	Older people are a user group with distinct needs and abilities ( ) that present challenges for user modelling	JJR NNS VBP DT NN NN IN JJ NNS CC NNS ( ) IN/that JJ NNS IN NN VVG	BackGround	GRelated	Neutral
08-2013_2	They are also in line with findings of tests of deployed Interactive Voice Response systems with younger and older users ( ), which show the diversity of older people's behaviour	PP VBP RB IN NN IN NNS IN NNS IN VVN NP NP NP NNS IN JJR CC JJR NNS ( ) , WDT VVP DT NN IN JJR NNS NN	BackGround	SRelated	Neutral
08-2013_3	In order to learn good policies, the behaviour of the SUs needs to cover the range of variation seen in real users ( )	IN NN TO VV JJ NNS , DT NN IN DT NP VVZ TO VV DT NN IN NN VVN IN JJ NNS ( )	BackGround	GRelated	Neutral
08-2013_3	Our data comes from a fully annotated corpus of 447 interactions of older and younger users with a Wizard-of-Oz (WoZ) appointment scheduling system ( )	PP$ NN VVZ IN DT RB VVN NN IN CD NNS IN JJR CC JJR NNS IN DT NP NN NN NN NN ( )	Fundamental	Basis	Neutral
08-2013_3	Currently one of the standard methods for evaluating the quality of a SU is to run a user simulation on a real corpus and measure how often the action generated by the SU agrees with the action observed in the corpus ( )	RB CD IN DT JJ NNS IN VVG DT NN IN DT NP VBZ TO VV DT NN NN IN DT JJ NN CC VV WRB RB DT NN VVN IN DT NP VVZ IN DT NN VVD IN DT NN ( )	BackGround	GRelated	Neutral
08-2013_3	Given a history of system and user actions (n-1 actions) the SU generates an action based on a probability distribution learned from the training data ( )	VVN DT NN IN NN CC NN NNS JJ NN DT NP VVZ DT NN VVN IN DT NN NN VVN IN DT NN NNS ( )	BackGround	SRelated	Neutral
08-2013_3	The actions generated by our SUs were compared to the actions observed in the corpus using five metrics proposed in the literature ( ): perplexity (PP), precision, recall, expected precision and expected recall	DT NNS VVN IN PP$ NP VBD VVN TO DT NNS VVD IN DT NN VVG CD NNS VVN IN DT NN ( JJ NN NN , NN , NN , VVN NN CC VVN NN	Fundamental	Basis	Neutral
08-2013_4	A detailed description of the corpus design, statistics, and annotation scheme is provided in ( )	DT JJ NN IN DT NN NN , NNS , CC NN NN VBZ VVN IN ( )	BackGround	SRelated	Neutral
08-2013_4	There are 28 distinct user speech acts ( )	EX VBP CD JJ NN NN NNS ( )	BackGround	SRelated	Neutral
08-2013_5	This finding supports the principle of "inclusive design" ( ): designers should consider a wide range of users when developing a product for general use	DT NN VVZ DT NN IN JJ NN ( JJ NNS MD VV DT JJ NN IN NNS WRB VVG DT NN IN JJ NN	BackGround	SRelated	Positive
08-2013_6	The only statistical spoken dialogue system for older people we are aware of is Nursebot, an early application of statistical methods (POMDPs) within the context of a medication reminder system ( )	DT RB JJ VVN NN NN IN JJR NNS PP VBP JJ IN VBZ NP , DT JJ NN IN JJ NNS JJ IN DT NN IN DT NN NN NN ( )	BackGround	SRelated	Positive
08-2013_7	We then evaluate these models using standard metrics ( ) and compare our findings with the results of statistical corpus analysis	PP RB VV DT NNS VVG JJ NNS ( ) CC VV PP$ NNS IN DT NNS IN JJ NN NN	Fundamental	Basis	Neutral
08-2014_0	Finally, a linear model is trained using a variation of the averaged perceptron ( ) algorithm	RB , DT JJ NN VBZ VVN VVG DT NN IN DT VVN NN ( ) NN	Fundamental	Basis	Neutral
08-2014_1	We use a linear classifier trained with a regularized perceptron update rule ( ) as implemented in SNoW, ( )	PP VVP DT JJ NN VVN IN DT VVN NN NN NN ( ) RB VVN IN NP , ( )	Fundamental	Basis	Neutral
08-2014_2	( ) bootstrap with a classifier used interchangeably with an un-supervised temporal alignment method	( ) NN IN DT NN VVN RB IN DT JJ JJ NN NN	BackGround	GRelated	Neutral
08-2014_2	We evaluated our approach in two settings; first, we compared our system to a baseline system described in ( )	PP VVD PP$ NN IN CD NN JJ , PP VVD PP$ NN TO DT NN NN VVN IN ( )	Compare	Compare	Neutral
08-2014_3	Previous works usually take a generative approach, ( )	JJ VVZ RB VV DT JJ NN , ( )	BackGround	GRelated	Neutral
08-2014_4	The idea of selectively sampling training samples has been wildly discussed in machine learning theory ( ) and has been applied successfully to several NLP applications ( )	DT NN IN RB VVG NN NNS VHZ VBN RB VVN IN NN VVG NN ( ) CC VHZ VBN VVN RB TO JJ NP NNS ( )	BackGround	GRelated	Positive
08-2014_7	Other approaches exploit similarities in aligned bilingual corpora; for example, ( ) combine two unsupervised methods	JJ NNS VVP NNS IN VVN JJ NN IN NN , ( ) VV CD JJ NNS	BackGround	GRelated	Neutral
08-2015_0	DictEx We extend the phrase table with entries from a manually created dictionary - the English glosses of the Buckwalter Arabic morphological analyzer ( )	NP PP VVP DT NN NN IN NNS IN DT RB VVN NN : DT JJ NNS IN DT NP NP JJ NN ( )	Fundamental	Basis	Neutral
08-2015_1	Our transliteration system is rather simple: it uses the transliteration similarity measure described by Freeman et al.( ) to select a best match from a large list of possible names in English	PP$ NN NN VBZ RB JJ PP VVZ DT NN NN NN VVN IN NP NP NP ( ) TO VV DT JJS NN IN DT JJ NN IN JJ NNS IN NP	Fundamental	Basis	Neutral
08-2015_2	More details are available in a technical report ( )	JJR NNS VBP JJ IN DT JJ NN ( )	BackGround	SRelated	Neutral
08-2015_4	We tokenize using the Mada morphological disambiguation system ( ), and Tokan, a general Arabic tokenizer ( )	PP VVP VVG DT NP JJ NN NN ( ) , CC NP , DT JJ NP NN ( )	Fundamental	Basis	Neutral
08-2015_5	There is much work on name transliteration and its integration in larger MT systems ( )	EX VBZ JJ NN IN NN NN CC PP$ NN IN JJR NP NNS ( )	BackGround	GRelated	Neutral
08-2015_6	We decode using Pharaoh ( )	PP VVP VVG NN ( )	Fundamental	Basis	Neutral
08-2015_7	Word alignment is done with GIZA++ ( )	NN NN VBZ VVN IN NP ( )	Fundamental	Basis	Neutral
08-2015_8	The first 200 sentences in the 2002 MTEval test set were used for Minimum Error Training (MERT) ( )	DT JJ CD NNS IN DT CD NP NN NN VBD VVN IN NP NP NP NN ( )	BackGround	SRelated	Neutral
08-2015_9	Okuma et al.( ) describe a dictionary-based technique for translating OOV words in SMT	NP NP NP ( ) VV DT JJ NN IN VVG NP NNS IN NP	BackGround	GRelated	Neutral
08-2015_10	6 We report results in terms of case-insensitive 4-gram BLEU ( ) scores	CD PP VVP NNS IN NNS IN JJ NP NP ( ) NNS	Fundamental	Basis	Neutral
08-2015_11	This is especially true for languages with rich morphology such as Spanish, Catalan, and Serbian ( ) and Arabic ( )	DT VBZ RB JJ IN NNS IN JJ NN JJ IN NP , NP , CC JJ ( ) CC NP ( )	BackGround	GRelated	Neutral
08-2015_12	We address some of these challenges in our baseline system by removing all diacritics, normalizing Alif and Ya forms, and tokenizing Arabic text in the highly competitive Arabic Treebank scheme ( )	PP VVP DT IN DT NNS IN PP$ JJ NN IN VVG DT NNS , VVG NP CC NP NNS , CC VVG NP NN IN DT RB JJ NP NP NN ( )	Fundamental	Basis	Neutral
08-2015_13	All evaluated systems use the same surface trigram language model, trained on approximately 340 million words from the English Gigaword corpus ( ) using the SRILM toolkit ( )	DT VVN NNS VVP DT JJ NN NN NN NN , VVN IN RB CD CD NNS IN DT NP NP NN ( ) VVG DT NP NN ( )	Fundamental	Basis	Neutral
08-2015_14	Vilar et al.( ) address spelling-variant OOVs in MT through online re-tokenization into letters and combination with a word-based system	NP NP NP ( ) VV JJ NP IN NP IN JJ NN IN NNS CC NN IN DT JJ NN	BackGround	GRelated	Neutral
08-2015_15	Some previous approaches anticipate OOV words that are potentially morphologically related to in-vocabulary (INV) words ( )	DT JJ NNS VVP NP NNS WDT VBP RB RB VVN TO JJ JJ NNS ( )	BackGround	GRelated	Neutral
08-2016_1	Jewish Law documents written in Hebrew are known to be rich in ambiguous abbreviations ( )	JJ NN NNS VVN IN NP VBP VVN TO VB JJ IN JJ NNS ( )	BackGround	GRelated	Neutral
08-2016_1	In our previous research ( ), we developed a prototype abbreviation disambiguation system for Jewish Law documents written in Hebrew, without using any ML method	IN PP$ JJ NN ( ) , PP VVD DT NN NN NN NN IN JJ NN NNS VVN IN NP , IN VVG DT NP NN	BackGround	SRelated	Neutral
08-2016_1	The numerical sum of the numerical values attributed to the Hebrew letters forming the abbreviation ( )	DT JJ NN IN DT JJ NNS VVD TO DT JJ NNS VVG DT NN ( )	BackGround	SRelated	Neutral
08-2016_2	The one sense per discourse hypothesis (OS) was introduced by Gale et al.( )	DT CD NN IN NN NN NN VBD VVN IN NP NP NP ( )	BackGround	SRelated	Neutral
08-2016_3	Systems developed by Pakhomov ( ), Yu et al.( ) and Gaudan et al.( ) achieved 84% to 98% accuracy	NNS VVN IN NP ( ) , NP NP NP ( ) CC NP NP NP ( ) VVD CD TO CD NN	BackGround	GRelated	Positive
08-2016_7	Yosef ( )	NP ( )	NULL	NULL	NULL
08-2017_0	Active learning (AL) can be employed to reduce the costs of corpus annotation ( )	JJ VVG NN MD VB VVN TO VV DT NNS IN NN NN ( )	BackGround	GRelated	Neutral
08-2017_0	The easiest solution is to normalize by sentence length, as has been done previously ( )	DT JJS NN VBZ TO VV IN NN NN , RB VHZ VBN VVN RB ( )	BackGround	SRelated	Positive
08-2017_0	We follow Engelson & Dagan ( ) in the implementation of vote entropy for sentence selection using these models	PP VVP NP CC NP ( ) IN DT NN IN NN NN IN NN NN VVG DT NNS	Fundamental	Idea	Neutral
08-2017_1	In the context of parse tree annotation, Hwa ( ) estimates cost using the number of constituents needing labeling and Osborne & Baldridge ( ) use a measure related to the number of possible parses	IN DT NN IN VV NN NN , NP ( ) VVZ VV VVG DT NN IN NNS VVG VVG CC NP CC NP ( ) VV DT NN VVN TO DT NN IN JJ VVZ	BackGround	GRelated	Neutral
08-2017_2	One exception is ( ) (discussed later) which compares the cost of manual rule writing with AL-based annotation for noun phrase chunking	CD NN VBZ ( ) JJ NN WDT VVZ DT NN IN JJ NN VVG IN JJ NN IN NN NN NN	BackGround	GRelated	Neutral
08-2017_2	In contrast to the model presented by Ngai and Yarowsky ( ), which predicts monetary cost given time spent, this model estimates time spent from characteristics of a sentence	IN NN TO DT NN VVN IN NP CC NP ( ) , WDT VVZ JJ NN VVN NN VVD , DT NN VVZ NN VVN IN NNS IN DT NN	Compare	Compare	Neutral
08-2017_4	We also consider another selection algorithm introduced in ( ) that eliminates the overhead of entropy computations altogether by estimating per-sentence uncertainty with 1 ?P(|), where f is the Viterbi (best) tag sequence	PP RB VVP DT NN NN VVN IN ( ) WDT VVZ DT NN IN NN NNS RB IN VVG NN NN IN CD SENT NP , WRB SYM VBZ DT NP NN NN NN	Fundamental	Basis	Neutral
08-2017_5	In prior work, we describe such a cost model for POS annotation on the basis of the time required for annotation ( )	IN JJ NN , PP VVP PDT DT NN NN IN NP NN IN DT NN IN DT NN VVN IN NN ( )	BackGround	SRelated	Neutral
08-2017_6	Perhaps the best known are Query by Committee (QBC) ( ) and uncertainty sampling (or Query by Uncertainty, QBU) ( )	RB DT RBS JJ VBP NP IN NP NP ( ) CC NN NN NN NP IN NN , NP ( )	BackGround	GRelated	Neutral
08-2017_8	Our implementation of QBC employs a committee of three MEMM taggers to balance computational cost and diversity, following Tomanek et al.( )	PP$ NN IN NP VVZ DT NN IN CD NP NN TO VV JJ NN CC NN , VVG NP NP NP ( )	Fundamental	Idea	Neutral
08-2017_9	The features used in this work are typical for modern MEMM POS tagging and are mostly based on work by Toutanova and Manning ( )	DT NNS VVN IN DT NN VBP JJ IN JJ NP NP VVG CC VBP RB VVN IN NN IN NP CC NP ( )	Fundamental	Basis	Neutral
08-2018_0	Though there has been a growing interest in semi-supervised learning ( ), it is in an early phase of development	IN EX VHZ VBN DT VVG NN IN JJ NN ( ) , PP VBZ IN DT JJ NN IN NN	BackGround	GRelated	Neutral
08-2018_1	Previous domain resources include WordNet ( ) and HowNet ( ), among others	JJ NN NNS VVP NP ( ) CC NP ( ) , IN NNS	BackGround	GRelated	Neutral
08-2018_3	In this study, the 12 domains in Table 1 are used following ( ) (H&K hereafter) 1 	IN DT NN , DT CD NNS IN JJ CD VBP VVN VVG ( ) NN NP CD	Fundamental	Idea	Neutral
08-2018_4	Previous text categorization methods like Joachims ( ) and Schapire and Singer ( ) are mostly based on machine learning	JJ NN NN NNS IN NP ( ) CC NP CC NP ( ) VBP RB VVN IN NN NN	BackGround	GRelated	Neutral
08-2018_5	Ko and Seo ( ) automatically collect training data using a large amount of unlabeled data and a small amount of seed information	NP CC NP ( ) RB VV NN NNS VVG DT JJ NN IN JJ NNS CC DT JJ NN IN NN NN	BackGround	GRelated	Neutral
08-2018_6	This is consistent with Kornai et al.( ), who claim that only positive evidence matter in categorization	DT VBZ JJ IN NP NP NP ( ) , WP VVP IN/that RB JJ NN NN IN NN	Compare	Compare	Neutral
08-2018_7	Liu et al.( ) prepare representative words for each class, by which they collect initial training data to build classifier	NP NP NP ( ) VV JJ NNS IN DT NN , IN WDT PP VVP JJ NN NNS TO VV NN	BackGround	GRelated	Neutral
08-2018_8	Magnini et al.( ) show the effectiveness of domain information for WSD	NP NP NP ( ) VV DT NN IN NN NN IN NP	BackGround	GRelated	Neutral
08-2018_9	Piao et al.( ) use domain tags to extract MWEs	NP NP NP ( ) VV NN NNS TO VV NP	BackGround	GRelated	Neutral
08-2019_0	We have implemented a Mixture Model POMDP architecture as a multi-state version of the DIPPER "Information State Update" dialogue manager ( )	PP VHP VVN DT NN NP NP NN IN DT NNS NN IN DT NP NN NP NP NN NN ( )	BackGround	SRelated	Neutral
08-2020_0	An alternative is to apply automatically learned reordering rules to the test sentences before decoding ( )	DT NN VBZ TO VV RB VVD VVG NNS TO DT NN NNS IN VVG ( )	BackGround	SRelated	Neutral
08-2020_1	Our translation system is based on the CMU SMT decoder as described in ( )	PP$ NN NN VBZ VVN IN DT NP NP NN IN VVN IN ( )	Fundamental	Basis	Neutral
08-2020_2	We used the Pharaoh/Moses package ( ) to extract and score phrase pairs using the grow-diag-final extraction method	PP VVD DT NNS NN ( ) TO VV CC VVP NN NNS VVG DT JJ NN NN	Fundamental	Basis	Neutral
08-2020_3	To accelerate the training of word alignment models we implemented a distributed version of GIZA++ ( ), based on the latest version of GIZA++ and a parallel version developed at Peking University ( )	TO VV DT NN IN NN NN NNS PP VVD DT VVN NN IN NP ( ) , VVN IN DT JJS NN IN NP CC DT JJ NN VVN IN NP NP ( )	Fundamental	Basis	Neutral
08-2020_6	In this paper we report results using the BLEU metric ( ), however as the evaluation criterion in GALE is HTER ( ), we also report in TER ( )	IN DT NN PP VVP NNS VVG DT NP NN ( ) , RB IN DT NN NN IN NP VBZ JJ ( ) , PP RB VVP IN NP ( )	Fundamental	Basis	Neutral
08-2020_7	Every outgoing edge of a node is scored with the relative frequency of the pattern used on the following sub path (For details see ( ))	DT JJ NN IN DT NN VBZ VVN IN DT JJ NN IN DT NN VVN IN DT VVG NN NN NN NNS VVP ( NN	BackGround	SRelated	Neutral
08-2020_10	We trained separate open vocabulary language models for each source and interpolated them using the SRI Language Modeling Toolkit ( )	PP VVN JJ JJ NN NN NNS IN DT NN CC VVD PP VVG DT NP NP NP NP ( )	Fundamental	Basis	Neutral
08-2020_11	Our preprocessing steps include tokenization on the English side and for Chinese: automatic word segmentation using the revised version of the Stanford Chinese Word Segmenter 2 ( ) from 2007, replacement of traditional by simplified Chinese characters and 2-byte to 1-byte ASCII character normalization	PP$ NN NNS VVP NN IN DT JJ NN CC IN NP JJ NN NN VVG DT VVN NN IN DT NP NP NP NP CD ( ) IN CD , NN IN JJ IN VVN JJ NNS CC JJ TO JJ NP NN NN	Fundamental	Basis	Neutral
08-2020_12	In order to find an optimal set of weights, we use MER training as described in ( ), which uses rescoring of the top n hypotheses to maximize an evaluation metric like BLEU or TER	IN NN TO VV DT JJ NN IN NNS , PP VVP JJ NN IN VVN IN ( ) , WDT VVZ NN IN DT JJ NN NNS TO VV DT NN JJ IN NP CC NP	Fundamental	Basis	Neutral
08-2021_0	Note that our contributions in this paper could be applied to arbitrary lattice topologies.) For example, Bangalore et al.( ) show how to build a confusion network following a multistring alignment procedure of several MT outputs	NN IN/that PP$ NNS IN DT NN MD VB VVN TO JJ NN NN IN NN , NP NP NP ( ) VV WRB TO VV DT NN NN VVG DT JJ NN NN IN JJ NP NNS	BackGround	GRelated	Neutral
08-2021_1	The BLEU oracle sentences were found using the dynamic-programming algorithm given in Dreyer et al.( ) and measured using Philipp Koehn'seval-uation script	DT NP NN NNS VBD VVN VVG DT JJ NN VVN IN NP NP NP ( ) CC VVN VVG NP NP NN	Fundamental	Basis	Neutral
08-2022_0	In Model II, the semi-supervised setup, the training data is used to initialize the Expectation-Maximization (EM) algorithm ( ) and the unlabeled data, described in Section 3.1, updates the initial estimates	IN NP NP , DT JJ NN , DT NN NN VBZ VVN TO VV DT NN NN NN ( ) CC DT JJ NNS , VVN IN NP CD , NNS DT JJ NNS	Fundamental	Basis	Neutral
08-2022_1	225 words were selected for manual annotation as homograph or non-homograph by random sampling of words that were on the above list and used in prior psycholinguistic studies of homographs ( ) or on the Academic Word List ( )	CD NNS VBD VVN IN JJ NN IN NN CC NN IN JJ NN IN NNS WDT VBD IN DT JJ NN CC VVN IN JJ JJ NNS IN NNS ( ) CC IN DT NP NP NP ( )	BackGround	GRelated	Neutral
08-2022_2	However, making fine-grained sense distinctions for words with multiple closely-related meanings is a subjective task ( ), which makes it difficult and error-prone	RB , VVG JJ NN NNS IN NNS IN JJ JJ NNS VBZ DT JJ NN ( ) , WDT VVZ PP JJ CC JJ	BackGround	GRelated	Negative
08-2022_4	Lexical ambiguity resolution is an important research problem for the fields of information retrieval and machine translation ( )	JJ NN NN VBZ DT JJ NN NN IN DT NNS IN NN NN CC NN NN ( )	BackGround	GRelated	Positive
08-2022_6	Fine-grained sense distinctions aren't necessary for many tasks, thus a possibly-simpler alternative is lexical disambiguation at the level of homographs ( )	JJ NN NNS NN JJ IN JJ NNS , RB DT NN NN VBZ JJ NN IN DT NN IN NNS ( )	BackGround	GRelated	Neutral
08-2023_0	The above two work was further advanced by Bunescu and Mooney ( ) who argued that the information to extract a relation between two entities can be typically captured by the shortest path between them in the dependency graph	DT JJ CD NN VBD RBR JJ IN NP CC NP ( ) WP VVD IN/that DT NN TO VV DT NN IN CD NNS MD VB RB VVN IN DT JJS NN IN PP IN DT NN NN	BackGround	GRelated	Positive
08-2023_1	In the feature-based framework, Kambhatla ( ) employed ME models to combine diverse lexical, syntactic and semantic features derived from word, entity type, mention level, overlap, dependency and parse tree	IN DT JJ NN , NP ( ) VVN JJ NNS TO VV JJ JJ , JJ CC JJ NNS VVN IN NN , NN NN , NN NN , VVP , NN CC VV NN	BackGround	GRelated	Neutral
08-2023_2	Zelenko et al ( ) proposed a kernel over two parse trees, which recursively matched nodes from roots to leaves in a top-down manner	NP NP NP ( ) VVN DT NN IN CD VVP NNS , WDT RB VVD NNS IN NNS TO NNS IN DT NN NN	BackGround	GRelated	Neutral
08-2023_3	Based on his work, Zhou et al ( ) further incorporated the base phrase chunking information and semi-automatically collected country name list and personal relative trigger word list	VVN IN PP$ NN , NP NP NP ( ) RBR VVN DT JJ NN NN NN CC RB VVN NN NN NN CC JJ JJ NN NN NN	BackGround	GRelated	Neutral
08-2023_4	Later, Zhang et al ( ) developed a composite kernel that combined parse tree kernel with entity kernel and Zhou et al ( ) experimented with a context-sensitive kernel by automatically determining context-sensitive tree spans	RBR , NP NP NP ( ) VVN DT JJ NN WDT VVD VV NN NN IN NN NN CC NP NP NP ( ) VVN IN DT JJ NN IN RB VVG JJ NN NNS	BackGround	GRelated	Neutral
08-2023_5	Che et al ( ) defined an improved edit distance kernel over the original Chinese string representation around particular entities	NP NP NP ( ) VVN DT VVD VV NN NN IN DT JJ JJ NN NN IN JJ NNS	BackGround	GRelated	Positive
08-2024_1	It is not difficult to list all of those characters that have the same or similar pronunciations, e.g., "t^AI" and ""fAI", if we have a machine readable lexicon that provides information about pronunciations of characters and when we ignore special patterns for tone sandhi in Chinese ( )	PP VBZ RB JJ TO VV DT IN DT NNS WDT VHP DT JJ CC JJ NNS , FW , NN CC NN , IN PP VHP DT NN JJ NN WDT VVZ NN IN NNS IN NNS CC WRB PP VVP JJ NNS IN NN NN IN JJ ( )	BackGround	SRelated	Negative
08-2024_2	Bong-Foo Chu, selected a set of 24 basic elements in Chinese characters, and proposed a set of rules to decompose Chinese characters into elements that belong to this set of building blocks ( )	NP NP , VVD DT NN IN CD JJ NNS IN JJ NNS , CC VVD DT NN IN NNS TO VV JJ NNS IN NNS WDT VVP TO DT NN IN NN NNS ( )	BackGround	SRelated	Neutral
08-2024_4	Figure 4 illustrates possible layouts of the components in Chinese characters that were adopted by the Cangjie method ( )	NN CD VVZ JJ NNS IN DT NNS IN JJ NNS WDT VBD VVN IN DT NP NN ( )	Fundamental	Basis	Neutral
08-2024_5	There are more than 22000 different characters in large corpus of Chinese documents ( ), so directly computing the similarity between images of these characters demands a lot of computation	EX VBP JJR IN CD JJ NNS IN JJ NN IN JJ NNS ( ) , RB RB VVG DT NN IN NNS IN DT NNS NNS DT NN IN NN	BackGround	SRelated	Neutral
08-2024_6	Taft, Zhu, and Peng ( ) investigated the effects of positions of radicals on subjects' lexical decisions and naming responses	NP , NP , CC NP ( ) VVN DT NNS IN NNS IN NNS IN NP JJ NNS CC VVG NNS	BackGround	GRelated	Neutral
08-2024_7	Yeh and Li ( ) studied how similar characters influenced the judgments made by skilled readers of Chinese	NP CC NP ( ) VVN WRB JJ NNS VVD DT NNS VVN IN JJ NNS IN NP	BackGround	GRelated	Neutral
08-2025_0	In this case, the "best" answer may be chosen by the votes, or alternatively by automatically predicting answer quality (e.g., ( ) or ( ))	IN DT NN , DT JJ NN MD VB VVN IN DT NNS , CC RB IN RB VVG NN NN NN , ( ) CC ( NN	BackGround	GRelated	Neutral
08-2025_0	• Category Features: We hypothesized that user behavior (and asker satisfaction) varies by topical question category, as recently shown in reference ( )	JJ NP PP VVN WDT NN NN NN NN NN VVZ IN JJ NN NN , RB RB VVN IN NN ( )	BackGround	SRelated	Neutral
08-2025_2	While information seeker satisfaction has been studied in ad-hoc IR context (see ( ) for an overview), previous studies have been limited by the lack of realistic user feedback	IN NN NN NN VHZ VBN VVN IN NN NN NN NN ( ) IN DT NN , JJ NNS VHP VBN VVN IN DT NN IN JJ NN NN	BackGround	SRelated	Neutral
08-2025_3	In our recent work ( ) we have introduced a general model for predicting asker satisfaction in community question answering	IN PP$ JJ NN ( ) PP VHP VVN DT JJ NN IN VVG NN NN IN NN NN NN	BackGround	SRelated	Neutral
08-2025_3	For more detailed treatment of user interactions in CQA see ( )	IN JJR JJ NN IN NN NNS IN NP VVP ( )	BackGround	SRelated	Neutral
08-2025_3	We now briefly review our ASP (Asker Satisfaction Prediction) framework that learns to classify whether a question has been satisfactorily answered, originally introduced in ( )	PP RB RB VV PP$ NP NN NP NP NN WDT VVZ TO VV IN DT NN VHZ VBN RB VVN , RB VVN IN ( )	Fundamental	Basis	Positive
08-2025_4	Furthermore, while automatic complex QA has been an active area of research, ranging from simple modification to factoid QA technique (e.g., ( )) to knowledge intensive approaches for specialized domains, the technology does not yet exist to automatically answer open domain, complex, and subjective questions	RB , IN JJ NN NP VHZ VBN DT JJ NN IN NN , VVG IN JJ NN TO NN NP NN NN , ( NN TO NN JJ NNS IN JJ NNS , DT NN VVZ RB RB VV TO RB VV JJ NN , JJ , CC JJ NNS	BackGround	GRelated	Neutral
08-2025_5	Classification Algorithms: We experimented with a variety of classifiers in the Weka framework ( )	NN NN PP VVD IN DT NN IN NNS IN DT NP NN ( )	Fundamental	Basis	Neutral
08-2026_0	However more recent results have shown that it can indeed improve parser performance ( )	RB RBR JJ NNS VHP VVN IN/that PP MD RB VV NN NN ( )	BackGround	GRelated	Positive
08-2026_0	Two previous papers would seem to address this issue: the work by Bacchiani et al.( ) and McClosky et al.( )	CD JJ NNS MD VV TO VV DT NN DT NN IN NP NP NP ( ) CC NP NP NP ( )	BackGround	GRelated	Neutral
08-2026_1	2 A close second (1% behind) was the parser of Bikel ( )	LS DT JJ JJ NN NN VBD DT NN IN NP ( )	BackGround	GRelated	Neutral
08-2026_2	While self-training has worked in several domains, the early results on self-training for parsing were negative ( )	IN NN VHZ VVN IN JJ NNS , DT JJ NNS IN NN IN VVG VBD JJ ( )	BackGround	GRelated	Negative
08-2026_3	Section three describes our main experiment on standard test data ( )	NN CD VVZ PP$ JJ NN IN JJ NN NNS ( )	Fundamental	Basis	Neutral
08-2026_3	Clegg and Shepherd ( ) do not provide separate precision and recall numbers	NP CC NP ( ) VVP RB VV JJ NN CC NN NNS	BackGround	SRelated	Negative
08-2026_4	In contrast, the out-of-vocabulary rate of biomedical abstracts given the same lexicon is significantly higher at about 25% ( )	IN NN , DT JJ NN IN JJ NNS VVN DT JJ NN VBZ RB JJR IN IN CD ( )	BackGround	GRelated	Neutral
08-2026_4	Lease and Charniak ( ) achieve their results using small amounts of hand-annotated biomedical part-of-speech-tagged data and also explore other possible sources or information	NP CC NP ( ) VV PP$ NNS VVG JJ NNS IN JJ JJ JJ NNS CC RB VV JJ JJ NNS CC NN	BackGround	MRelated	Neutral
08-2026_5	Marcus et al., 1993)) and then self-training on a second type of data in order to adapt the parser to the second domain	NP NP NP , JJ CC RB VVG IN DT JJ NN IN NNS IN NN TO VV DT NN TO DT JJ NN	BackGround	GRelated	Neutral
08-2026_6	So, for example, McClosky et al.( ) found that the data from the handannotated WSJ data should be considered at least five times more important than NANC data on an event by event level	RB , IN NN , NP NP NP ( ) VVD IN/that DT NNS IN DT JJ NP NNS MD VB VVN IN JJS CD NNS RBR JJ IN NP NNS IN DT NN IN NN NN	BackGround	SRelated	Neutral
08-2026_8	However, several very good current parsers were not available when this paper was written (e.g., the Berkeley Parser ( ))	RB , JJ RB JJ JJ NNS VBD RB JJ WRB DT NN VBD VVN NN , DT NP NP ( NN	BackGround	GRelated	Neutral
08-2026_9	Bacchiani and Roark train the Roark parser ( ) on trees from the Brown treebank and then self-train and test on data from Wall Street Journal	NP CC NP VVP DT NP NN ( ) IN NNS IN DT NP NN CC RB NN CC NN IN NNS IN NP NP NP	BackGround	GRelated	Neutral
08-2026_10	1 Steedman et al.( ) generally found that self-training does not work, but found that it does help if the baseline results were sufficiently bad	CD NP NP NP ( ) RB VVD IN/that NN VVZ RB VV , CC VVD IN/that PP VVZ VV IN DT NN NNS VBD RB JJ	BackGround	GRelated	Neutral
